"","TargetID","adjp","coef","TargetID1","Overlap","Significance"
"47","cg19411932",0.929951724640953,0.0383838471506508,"cg19411932","Non-overlapped","non-sig"
"48","cg20788133",0.76864585085235,-0.197636253557879,"cg20788133","Non-overlapped","non-sig"
"49","cg08939496",0.96423862875534,-0.0485869756637046,"cg08939496","Non-overlapped","non-sig"
"50","cg16736630",0.591562204062443,0.174653740171689,"cg16736630","Non-overlapped","non-sig"
"51","cg01793617",0.550881037608607,0.140420667186307,"cg01793617","Non-overlapped","non-sig"
"52","cg09139287",0.930271001979531,-0.0918620248891442,"cg09139287","Non-overlapped","non-sig"
"53","cg05662829",0.913425763281619,0.098372517155485,"cg05662829","Non-overlapped","non-sig"
"54","cg22714517",0.826193163747596,0.124037711469783,"cg22714517","Non-overlapped","non-sig"
"55","cg00168193",0.838441104145136,0.161863447216899,"cg00168193","Non-overlapped","non-sig"
"56","cg14280098",0.962435807582135,-0.0365316928648257,"cg14280098","Non-overlapped","non-sig"
"57","cg15903280",0.831220664474743,-0.092917843797838,"cg15903280","Non-overlapped","non-sig"
"58","cg04352959",0.9362586821494,0.0460813333010915,"cg04352959","Non-overlapped","non-sig"
"59","cg08258224",0.907343620755465,0.0705964725697417,"cg08258224","Non-overlapped","non-sig"
"60","cg12285627",0.970366470143717,0.00902856153418422,"cg12285627","Non-overlapped","non-sig"
"61","cg05898754",0.948896898280606,-0.027488558396531,"cg05898754","Non-overlapped","non-sig"
"62","cg03128332",0.885576188828238,-0.099655540233993,"cg03128332","Non-overlapped","non-sig"
"63","cg15994267",0.882767450995667,0.042772537874341,"cg15994267","Non-overlapped","non-sig"
"64","cg16619049",0.923823264465953,0.111025620307889,"cg16619049","Non-overlapped","non-sig"
"65","cg23100540",0.655932876003328,-0.138929305146832,"cg23100540","Non-overlapped","non-sig"
"66","cg20275697",0.904879735193755,0.133484145328652,"cg20275697","Non-overlapped","non-sig"
"67","cg05475702",0.692619220224067,-0.106032338860091,"cg05475702","Non-overlapped","non-sig"
"68","cg18147296",0.80140040851782,-0.12419218613583,"cg18147296","Non-overlapped","non-sig"
"69","cg05597748",0.764012633462763,0.0819173543097918,"cg05597748","Non-overlapped","non-sig"
"70","cg00111697",0.796161879869961,0.108730083796392,"cg00111697","Non-overlapped","non-sig"
"71","cg10988531",0.998324704424832,0.0022507354632996,"cg10988531","Non-overlapped","non-sig"
"72","cg24373735",0.402943940591815,0.436222225639676,"cg24373735","Non-overlapped","non-sig"
"73","cg13938959",0.773601207234628,0.110826786596403,"cg13938959","Non-overlapped","non-sig"
"74","cg12445832",0.980868276795392,0.0130781745546549,"cg12445832","Non-overlapped","non-sig"
"75","cg23999112",0.808273929352656,0.0993489666630904,"cg23999112","Non-overlapped","non-sig"
"76","cg11527153",0.635665839585077,0.201864149896081,"cg11527153","Non-overlapped","non-sig"
"77","cg27573606",0.81975828456823,0.0897536077475418,"cg27573606","Non-overlapped","non-sig"
"78","cg04195702",0.99864140196981,-0.00155327327640838,"cg04195702","Non-overlapped","non-sig"
"79","cg01062849",0.77487189697024,-0.155342064657355,"cg01062849","Non-overlapped","non-sig"
"80","cg08128007",0.697962911921714,-0.302152877179358,"cg08128007","Non-overlapped","non-sig"
"81","cg23733394",0.618551046666286,-0.360447231196757,"cg23733394","Non-overlapped","non-sig"
"82","cg13371836",0.72430584674496,-0.0952917252021929,"cg13371836","Non-overlapped","non-sig"
"83","cg04407431",0.774853666212602,0.0845039114106383,"cg04407431","Non-overlapped","non-sig"
"84","cg13565718",0.826193163747596,0.130516054946764,"cg13565718","Non-overlapped","non-sig"
"85","cg01097950",0.453728794593979,-0.150830928930126,"cg01097950","Non-overlapped","non-sig"
"86","cg08900511",0.991172536768595,0.00921220300226048,"cg08900511","Non-overlapped","non-sig"
"87","cg04410003",0.973977710092524,0.048060326613004,"cg04410003","Non-overlapped","non-sig"
"88","cg18762746",0.837393050500698,-0.140740611189058,"cg18762746","Non-overlapped","non-sig"
"89","cg12726839",0.680812162057703,0.235690113206651,"cg12726839","Non-overlapped","non-sig"
"90","cg04364728",0.550881037608607,0.121494528728653,"cg04364728","Non-overlapped","non-sig"
"91","cg05151709",0.356671624570334,0.152768219058609,"cg05151709","Non-overlapped","non-sig"
"92","cg08546707",0.395133788453656,0.24770906053174,"cg08546707","Non-overlapped","non-sig"
"93","cg06154531",0.993006525410939,0.00811489302029312,"cg06154531","Non-overlapped","non-sig"
"94","cg01782097",0.820539286765141,0.0406120131649233,"cg01782097","Non-overlapped","non-sig"
"95","cg20825023",0.978607005401603,0.00753028896412232,"cg20825023","Non-overlapped","non-sig"
"96","cg12549180",0.880354955280603,0.0247467626557935,"cg12549180","Non-overlapped","non-sig"
"97","cg11851804",0.695930868877608,0.143325866695496,"cg11851804","Non-overlapped","non-sig"
"98","cg06623778",0.876245086175835,-0.0735509597382835,"cg06623778","Non-overlapped","non-sig"
"99","cg14528386",0.760163736190844,0.0813437129414311,"cg14528386","Non-overlapped","non-sig"
"100","cg17436295",0.772786720857878,0.0607202156482716,"cg17436295","Non-overlapped","non-sig"
"101","cg18865112",0.89504989330633,-0.15447400302807,"cg18865112","Non-overlapped","non-sig"
"102","cg19642727",0.428576240183803,-0.1703340800679,"cg19642727","Non-overlapped","non-sig"
"103","cg21407818",0.978621189014282,0.0136858230248338,"cg21407818","Non-overlapped","non-sig"
"104","cg22226438",0.986859156943164,0.0113729198098449,"cg22226438","Non-overlapped","non-sig"
"105","cg08029603",0.962009406829717,0.0365911370922153,"cg08029603","Non-overlapped","non-sig"
"106","cg16347928",0.965484995430292,-0.0380678568224456,"cg16347928","Non-overlapped","non-sig"
"107","cg22699361",0.805208168292987,-0.189826790611576,"cg22699361","Non-overlapped","non-sig"
"108","cg03890988",0.765107127571427,-0.0414723302914323,"cg03890988","Non-overlapped","non-sig"
"109","cg21786289",0.988179864631383,-0.00618447877582196,"cg21786289","Non-overlapped","non-sig"
"110","cg13897241",0.933216353386874,-0.0427173286051339,"cg13897241","Non-overlapped","non-sig"
"111","cg13176867",0.918091337436101,-0.0545804831434587,"cg13176867","Non-overlapped","non-sig"
"112","cg15105996",0.758298158019602,-0.173438781315236,"cg15105996","Non-overlapped","non-sig"
"113","cg02565062",0.310951988850079,-0.147301338837518,"cg02565062","Non-overlapped","non-sig"
"114","cg09856436",0.340896286734562,-0.137136302201697,"cg09856436","Non-overlapped","non-sig"
"115","cg19159092",0.98208705324444,0.00853980167962602,"cg19159092","Non-overlapped","non-sig"
"116","cg08132177",0.972302381285252,-0.0171009632536545,"cg08132177","Non-overlapped","non-sig"
"117","cg27050229",0.978607005401603,-0.0294896847119855,"cg27050229","Non-overlapped","non-sig"
"118","cg06931612",0.817956825966342,-0.0348146115010613,"cg06931612","Non-overlapped","non-sig"
"119","cg11407801",0.973977710092524,-0.0134025843576655,"cg11407801","Non-overlapped","non-sig"
"120","cg01197763",0.463520560376568,-0.203644320289016,"cg01197763","Non-overlapped","non-sig"
"121","cg01980454",0.943204736274098,-0.0601339981562509,"cg01980454","Non-overlapped","non-sig"
"122","cg16352085",0.790120534177839,-0.105311061063441,"cg16352085","Non-overlapped","non-sig"
"123","cg04839849",0.599317252946054,0.173425215259855,"cg04839849","Non-overlapped","non-sig"
"124","cg03725447",0.829847884278055,-0.139349317486047,"cg03725447","Non-overlapped","non-sig"
"125","cg25215298",0.977467297897213,0.009522924639105,"cg25215298","Non-overlapped","non-sig"
"126","cg04672450",0.49513417272398,0.142763422030283,"cg04672450","Non-overlapped","non-sig"
"127","cg27487046",0.614415472666148,0.134439227936867,"cg27487046","Non-overlapped","non-sig"
"128","cg06091566",0.998621308265145,-0.00236692634014274,"cg06091566","Non-overlapped","non-sig"
"129","cg03735847",0.803969798723458,0.0848857538912534,"cg03735847","Non-overlapped","non-sig"
"130","cg03180780",0.915660836021412,-0.0403484986870719,"cg03180780","Non-overlapped","non-sig"
"131","cg09166659",0.818259546412185,-0.0775201416799233,"cg09166659","Non-overlapped","non-sig"
"132","cg05527507",0.846960640128543,-0.0862828341726375,"cg05527507","Non-overlapped","non-sig"
"133","cg14324200",0.983049371746137,0.013617555940359,"cg14324200","Non-overlapped","non-sig"
"134","cg02663945",0.988418989439011,0.0114677364544458,"cg02663945","Non-overlapped","non-sig"
"135","cg13856810",0.593820716421565,-0.169558077511678,"cg13856810","Non-overlapped","non-sig"
"136","cg02896266",0.801104177016712,-0.059341409402278,"cg02896266","Non-overlapped","non-sig"
"137","cg13806162",0.701075475869632,-0.168421631196425,"cg13806162","Non-overlapped","non-sig"
"138","cg23225454",0.801104177016712,-0.056644968929306,"cg23225454","Non-overlapped","non-sig"
"139","cg00976181",0.734329455165308,-0.0617418914186132,"cg00976181","Non-overlapped","non-sig"
"140","cg10711230",0.681874605375074,-0.168274325511309,"cg10711230","Non-overlapped","non-sig"
"141","cg00145911",0.999237171688873,0.000389952353739292,"cg00145911","Non-overlapped","non-sig"
"142","cg13546858",0.844717099510238,0.151151657632365,"cg13546858","Non-overlapped","non-sig"
"143","cg13692836",0.978607005401603,-0.025572710304458,"cg13692836","Non-overlapped","non-sig"
"144","cg06531475",0.767603853981754,0.144285272887555,"cg06531475","Non-overlapped","non-sig"
"145","cg06624358",0.728820600635113,0.164612997781658,"cg06624358","Non-overlapped","non-sig"
"146","cg14156792",0.99018444898222,0.0134406715520148,"cg14156792","Non-overlapped","non-sig"
"147","cg24997886",0.808027179727296,0.133185777422739,"cg24997886","Non-overlapped","non-sig"
"148","cg01727431",0.977467297897213,-0.0264738516815981,"cg01727431","Non-overlapped","non-sig"
"149","cg10146935",0.97940781006523,-0.0465290022782314,"cg10146935","Non-overlapped","non-sig"
"150","cg02439789",0.975799053570468,-0.0262886248651375,"cg02439789","Non-overlapped","non-sig"
"151","cg24362661",0.959892105648782,0.0394231832404006,"cg24362661","Non-overlapped","non-sig"
"152","cg05819296",0.712375503252167,-0.177896782147694,"cg05819296","Non-overlapped","non-sig"
"153","cg00582671",0.35859490165486,-0.224765546241628,"cg00582671","Non-overlapped","non-sig"
"154","cg22485363",0.447446086514525,-0.436801758052318,"cg22485363","Non-overlapped","non-sig"
"155","cg06036236",0.436873689295266,-0.22670289727883,"cg06036236","Non-overlapped","non-sig"
"156","cg13904806",0.966032966536225,-0.11053738776505,"cg13904806","Non-overlapped","non-sig"
"157","cg03269716",0.617947363406747,-0.104010805143448,"cg03269716","Non-overlapped","non-sig"
"158","cg04121631",0.965484995430292,0.0328842344608816,"cg04121631","Non-overlapped","non-sig"
"159","cg23440882",0.719474869977737,0.122893404858477,"cg23440882","Non-overlapped","non-sig"
"160","cg23112672",0.666624697038034,0.234488023953716,"cg23112672","Non-overlapped","non-sig"
"161","cg15896339",0.858677973266745,-0.0674504909449974,"cg15896339","Non-overlapped","non-sig"
"162","cg12454161",0.875536394709163,-0.0353325137102409,"cg12454161","Non-overlapped","non-sig"
"163","cg09180262",0.984141154931111,0.0130507926946245,"cg09180262","Non-overlapped","non-sig"
"164","cg24045482",0.870732752729442,-0.0598397233490964,"cg24045482","Non-overlapped","non-sig"
"165","cg09988062",0.976061709035282,0.014191664811958,"cg09988062","Non-overlapped","non-sig"
"166","cg22416074",0.986688810765385,-0.00847085563521035,"cg22416074","Non-overlapped","non-sig"
"167","cg19724344",0.457690189293845,-0.149717196060326,"cg19724344","Non-overlapped","non-sig"
"168","cg06838427",0.437147118593495,0.188969761428545,"cg06838427","Non-overlapped","non-sig"
"169","cg10827460",0.758163378684813,0.0568954452205314,"cg10827460","Non-overlapped","non-sig"
"170","cg15742605",0.711346425121036,0.0830744511317193,"cg15742605","Non-overlapped","non-sig"
"171","cg09756115",0.984075514688913,-0.0124978746089575,"cg09756115","Non-overlapped","non-sig"
"172","cg23731742",0.883655883080606,0.11661202548751,"cg23731742","Non-overlapped","non-sig"
"173","cg23912452",0.866170907954472,-0.0390046308151053,"cg23912452","Non-overlapped","non-sig"
"174","cg06511482",0.513527533528072,-0.218379535238175,"cg06511482","Non-overlapped","non-sig"
"175","cg17153432",0.908092641397124,0.0496555956879364,"cg17153432","Non-overlapped","non-sig"
"176","cg00113194",0.910839295548606,0.0769090692678339,"cg00113194","Non-overlapped","non-sig"
"177","cg02968844",0.775039307995081,-0.0992853247893561,"cg02968844","Non-overlapped","non-sig"
"178","cg16248916",0.921729961781519,-0.0425608514347774,"cg16248916","Non-overlapped","non-sig"
"179","cg20322444",0.526604544654614,-0.223816872926603,"cg20322444","Non-overlapped","non-sig"
"180","cg07983659",0.698227089932809,-0.0873682190641835,"cg07983659","Non-overlapped","non-sig"
"181","cg11733071",0.503729427984288,0.137136284180403,"cg11733071","Non-overlapped","non-sig"
"182","cg01394461",0.701948190027079,0.0831534488011898,"cg01394461","Non-overlapped","non-sig"
"183","cg09555360",0.845092497048204,-0.106454841288998,"cg09555360","Non-overlapped","non-sig"
"184","cg07701223",0.985580460957269,0.00993378850701386,"cg07701223","Non-overlapped","non-sig"
"185","cg13060902",0.884762289059496,0.0595982014309798,"cg13060902","Non-overlapped","non-sig"
"186","cg21830050",0.857264078722151,-0.192938602659895,"cg21830050","Non-overlapped","non-sig"
"187","cg02326551",0.886809030949025,-0.0931994911660607,"cg02326551","Non-overlapped","non-sig"
"188","cg15684274",0.829845715755781,0.167024600031279,"cg15684274","Non-overlapped","non-sig"
"189","cg16005420",0.737374020141585,0.172025636102096,"cg16005420","Non-overlapped","non-sig"
"190","cg20453388",0.873552667183381,0.117049533323014,"cg20453388","Non-overlapped","non-sig"
"191","cg24664590",0.439818417062711,-0.368098965111296,"cg24664590","Non-overlapped","non-sig"
"192","cg08472719",0.974242041163605,-0.0245957096133962,"cg08472719","Non-overlapped","non-sig"
"193","cg03161767",0.899825185043225,-0.069546904312324,"cg03161767","Non-overlapped","non-sig"
"194","cg10207527",0.996863828035488,0.00292906214058294,"cg10207527","Non-overlapped","non-sig"
"195","cg04485075",0.851776832120591,-0.100216297012542,"cg04485075","Non-overlapped","non-sig"
"196","cg16389252",0.700127055758938,0.139693287352415,"cg16389252","Non-overlapped","non-sig"
"197","cg19923810",0.764878339012541,0.0884216175512901,"cg19923810","Non-overlapped","non-sig"
"198","cg25096313",0.39032622723828,0.342448455282495,"cg25096313","Non-overlapped","non-sig"
"199","cg16993975",0.776010645914037,-0.122304621660611,"cg16993975","Non-overlapped","non-sig"
"200","cg22114309",0.981798416448306,-0.00823452517165179,"cg22114309","Non-overlapped","non-sig"
"201","cg11132698",0.723083919536733,-0.127623834687635,"cg11132698","Non-overlapped","non-sig"
"202","cg09789536",0.850512778858788,-0.0675401958750175,"cg09789536","Non-overlapped","non-sig"
"203","cg26866020",0.976061709035282,-0.015289211993217,"cg26866020","Non-overlapped","non-sig"
"204","cg17505193",0.769706322520093,-0.0897837908573319,"cg17505193","Non-overlapped","non-sig"
"205","cg13802035",0.981124438382921,-0.0224214322022607,"cg13802035","Non-overlapped","non-sig"
"206","cg07582955",0.962753755129522,0.0176080409928958,"cg07582955","Non-overlapped","non-sig"
"207","cg16968662",0.949295143759335,-0.0231721992871239,"cg16968662","Non-overlapped","non-sig"
"208","cg07696918",0.90663636023923,0.0661792275933014,"cg07696918","Non-overlapped","non-sig"
"209","cg04359978",0.673529184510028,0.141223435113635,"cg04359978","Non-overlapped","non-sig"
"210","cg07236207",0.850512778858788,0.119331567106977,"cg07236207","Non-overlapped","non-sig"
"211","cg11084308",0.556263238553884,0.245518729796476,"cg11084308","Non-overlapped","non-sig"
"212","cg03148373",0.887670802966761,0.0274366048951492,"cg03148373","Non-overlapped","non-sig"
"213","cg10644916",0.803228305166577,0.212945428443063,"cg10644916","Non-overlapped","non-sig"
"214","cg01930745",0.962969796564901,-0.0490304724621156,"cg01930745","Non-overlapped","non-sig"
"215","cg14831166",0.960826876520466,-0.0485192848310713,"cg14831166","Non-overlapped","non-sig"
"216","cg11246447",0.952944150255091,-0.0630792414554295,"cg11246447","Non-overlapped","non-sig"
"217","cg14997037",0.469909464020695,0.313641019849485,"cg14997037","Non-overlapped","non-sig"
"218","cg15648958",0.80030854107666,0.168687567248329,"cg15648958","Non-overlapped","non-sig"
"219","cg03041482",0.928716676827525,-0.0669457978278993,"cg03041482","Non-overlapped","non-sig"
"220","cg00328058",0.749288423539814,-0.0666671345085186,"cg00328058","Non-overlapped","non-sig"
"221","cg25742326",0.631782708093523,-0.227226425733994,"cg25742326","Non-overlapped","non-sig"
"222","cg12663811",0.751313990006503,-0.121735519154365,"cg12663811","Non-overlapped","non-sig"
"223","cg07390924",0.899116479979359,-0.0579759322172916,"cg07390924","Non-overlapped","non-sig"
"224","cg10110857",0.955256428609756,0.0306532890864835,"cg10110857","Non-overlapped","non-sig"
"225","cg10375192",0.986688810765385,-0.00572287102945178,"cg10375192","Non-overlapped","non-sig"
"226","cg02056921",0.8854338094069,-0.115210287633528,"cg02056921","Non-overlapped","non-sig"
"227","cg21832150",0.998945834458107,0.000591711369312626,"cg21832150","Non-overlapped","non-sig"
"228","cg24076968",0.808273929352656,0.128290500640466,"cg24076968","Non-overlapped","non-sig"
"229","cg12536471",0.975960195242372,-0.0249779958494535,"cg12536471","Non-overlapped","non-sig"
"230","cg06324192",0.659138626688783,-0.0593865708990628,"cg06324192","Non-overlapped","non-sig"
"231","cg23207077",0.795857441220766,0.0761742291284657,"cg23207077","Non-overlapped","non-sig"
"232","cg22381068",0.928826447831569,0.0562874729982117,"cg22381068","Non-overlapped","non-sig"
"233","cg22481263",0.970435217400907,-0.0279125604124211,"cg22481263","Non-overlapped","non-sig"
"234","cg04865998",0.545655830186791,0.379929154615138,"cg04865998","Non-overlapped","non-sig"
"235","cg07195057",0.970102678518828,0.0435314319512459,"cg07195057","Non-overlapped","non-sig"
"236","cg26679367",0.969915550902074,0.036199612557874,"cg26679367","Non-overlapped","non-sig"
"237","cg23596291",0.978648002417835,-0.0449569475798283,"cg23596291","Non-overlapped","non-sig"
"238","cg06818851",0.764509244699297,0.313990887994796,"cg06818851","Non-overlapped","non-sig"
"239","cg23956473",0.831220664474743,-0.115279004689147,"cg23956473","Non-overlapped","non-sig"
"240","cg16352072",0.644587923635309,0.229814677005223,"cg16352072","Non-overlapped","non-sig"
"241","cg25107893",0.829697889360242,0.104861176476915,"cg25107893","Non-overlapped","non-sig"
"242","cg05505459",0.984141154931111,0.0220350702369327,"cg05505459","Non-overlapped","non-sig"
"243","cg23635910",0.978607005401603,0.0715741649964452,"cg23635910","Non-overlapped","non-sig"
"244","cg08843537",0.821312198968373,-0.289377577476185,"cg08843537","Non-overlapped","non-sig"
"245","cg22348654",0.875536394709163,-0.147968517082916,"cg22348654","Non-overlapped","non-sig"
"246","cg18166741",0.643297049482716,-0.380565224943818,"cg18166741","Non-overlapped","non-sig"
"247","cg22699004",0.90966509724025,-0.133473534642377,"cg22699004","Non-overlapped","non-sig"
"248","cg10824915",0.842231495262097,0.0656706371821362,"cg10824915","Non-overlapped","non-sig"
"249","cg22599150",0.751862865776114,-0.103831578583631,"cg22599150","Non-overlapped","non-sig"
"250","cg16349774",0.964655972104375,-0.0224338127110271,"cg16349774","Non-overlapped","non-sig"
"251","cg18439833",0.992852473062258,-0.00384949988202694,"cg18439833","Non-overlapped","non-sig"
"252","cg15526941",0.877114991191989,-0.0554715428056854,"cg15526941","Non-overlapped","non-sig"
"253","cg10201533",0.79767712274085,-0.0878800439608498,"cg10201533","Non-overlapped","non-sig"
"254","cg11235921",0.870732752729442,0.0578206525137323,"cg11235921","Non-overlapped","non-sig"
"255","cg11782208",0.882514556801545,-0.192769987298765,"cg11782208","Non-overlapped","non-sig"
"256","cg11143486",0.923823264465953,0.133119149129744,"cg11143486","Non-overlapped","non-sig"
"257","cg10381813",0.948896898280606,0.0726211611605057,"cg10381813","Non-overlapped","non-sig"
"258","cg14350158",0.945787131086872,0.0463039301108817,"cg14350158","Non-overlapped","non-sig"
"259","cg16417258",0.892816220866586,0.0696475877736532,"cg16417258","Non-overlapped","non-sig"
"260","cg03394722",0.964690251868714,0.0368316866893345,"cg03394722","Non-overlapped","non-sig"
"261","cg26114254",0.727381722002159,-0.252297980056493,"cg26114254","Non-overlapped","non-sig"
"262","cg10010734",0.448160144279947,-0.561116053028775,"cg10010734","Non-overlapped","non-sig"
"263","cg03648020",0.998621308265145,-0.00129995546801325,"cg03648020","Non-overlapped","non-sig"
"264","cg01729262",0.851776832120591,-0.0645396295884777,"cg01729262","Non-overlapped","non-sig"
"265","cg15882305",0.914013559644966,0.114407629052155,"cg15882305","Non-overlapped","non-sig"
"266","cg15713103",0.941633456997518,-0.0395664752952963,"cg15713103","Non-overlapped","non-sig"
"267","cg26003967",0.558615925630215,0.165375377846782,"cg26003967","Non-overlapped","non-sig"
"268","cg23552821",0.77931356290597,0.0564348609010485,"cg23552821","Non-overlapped","non-sig"
"269","cg26224305",0.978607005401603,-0.0338380756999266,"cg26224305","Non-overlapped","non-sig"
"270","cg05095110",0.978607005401603,0.0158488555782853,"cg05095110","Non-overlapped","non-sig"
"271","cg15578015",0.962629504133759,-0.0238547235220196,"cg15578015","Non-overlapped","non-sig"
"272","cg23205003",0.643564568029548,-0.162335576637255,"cg23205003","Non-overlapped","non-sig"
"273","cg17907238",0.66613448934996,0.119663037454714,"cg17907238","Non-overlapped","non-sig"
"274","cg02397514",0.787524468708002,-0.143847274151828,"cg02397514","Non-overlapped","non-sig"
"275","cg12257384",0.43047642106282,0.362271382041893,"cg12257384","Non-overlapped","non-sig"
"276","cg00447632",0.785007044149054,-0.130531826214146,"cg00447632","Non-overlapped","non-sig"
"277","cg26339484",0.674623364002248,-0.174208177684424,"cg26339484","Non-overlapped","non-sig"
"278","cg27430493",0.583377654015995,0.172698752288727,"cg27430493","Non-overlapped","non-sig"
"279","cg25066040",0.733997628950313,-0.124733019649123,"cg25066040","Non-overlapped","non-sig"
"280","cg27060622",0.832077699983697,0.0830436457655672,"cg27060622","Non-overlapped","non-sig"
"281","cg08122545",0.888877648606816,0.0708899095860756,"cg08122545","Non-overlapped","non-sig"
"282","cg15825501",0.953271544330335,0.0353494526235652,"cg15825501","Non-overlapped","non-sig"
"283","cg13468764",0.764878339012541,0.181610862321214,"cg13468764","Non-overlapped","non-sig"
"284","cg26321643",0.870091914667905,-0.110306767634266,"cg26321643","Non-overlapped","non-sig"
"285","cg16578267",0.815192765462642,-0.152460050278688,"cg16578267","Non-overlapped","non-sig"
"286","cg18977839",0.995801504165612,0.0045181692918754,"cg18977839","Non-overlapped","non-sig"
"287","cg09332175",0.924410751039186,-0.0288506464846222,"cg09332175","Non-overlapped","non-sig"
"288","cg16034521",0.998338491884455,-0.00223650894050187,"cg16034521","Non-overlapped","non-sig"
"289","cg10176463",0.792966888828448,0.0752532668703365,"cg10176463","Non-overlapped","non-sig"
"290","cg25350899",0.503729427984288,0.230115579692601,"cg25350899","Non-overlapped","non-sig"
"291","cg13219080",0.927383595237253,-0.0483571519917365,"cg13219080","Non-overlapped","non-sig"
"292","cg09364122",0.99059575596824,-0.0036895108312916,"cg09364122","Non-overlapped","non-sig"
"293","cg17142931",0.808027179727296,-0.0977399895816571,"cg17142931","Non-overlapped","non-sig"
"294","cg20064006",0.953132076853033,0.0333076554721544,"cg20064006","Non-overlapped","non-sig"
"295","cg17006413",0.883615588983758,0.0262332600307317,"cg17006413","Non-overlapped","non-sig"
"296","cg21472517",0.571776444342078,0.0729847883779958,"cg21472517","Non-overlapped","non-sig"
